asset,frequency,mode,regime_method,regime_label,feature_set,profile_type,window_length,motif_rank,motif_start_1,motif_start_2,motif_timestamp_1,motif_timestamp_2,motif_distance,segment_id,used_gpu
ETHUSDT,15m,conditioned,quantile_3_rolling_240,low_vol,rolling_volatility_60,univariate,32,1,3048,899,2023-08-16 03:15:00+00:00,2023-07-24 18:00:00+00:00,0.15923674663546197,low_vol_0023,False
ETHUSDT,15m,conditioned,quantile_3_rolling_30,low_vol,rolling_volatility_60,univariate,32,1,3048,899,2023-08-16 03:15:00+00:00,2023-07-24 18:00:00+00:00,0.15923674663546197,low_vol_0023,False
ETHUSDT,15m,conditioned,quantile_3_rolling_60,low_vol,rolling_volatility_60,univariate,32,1,3048,899,2023-08-16 03:15:00+00:00,2023-07-24 18:00:00+00:00,0.15923674663546197,low_vol_0023,False
ETHUSDT,15m,conditioned,quantile_2_rolling_60,low_vol,rolling_volatility_60,univariate,32,1,3147,998,2023-08-16 03:15:00+00:00,2023-07-24 18:00:00+00:00,0.15923674663579662,low_vol_0040,False
ETHUSDT,15m,conditioned,quantile_2_rolling_30,low_vol,rolling_volatility_60,univariate,32,1,3147,998,2023-08-16 03:15:00+00:00,2023-07-24 18:00:00+00:00,0.15923674663579662,low_vol_0040,False
ETHUSDT,15m,conditioned,quantile_2_rolling_240,low_vol,rolling_volatility_60,univariate,32,1,3147,998,2023-08-16 03:15:00+00:00,2023-07-24 18:00:00+00:00,0.15923674663579662,low_vol_0040,False
BTCUSDT,1h,conditioned,quantile_3_rolling_30,high_vol,rolling_volatility_60,univariate,24,1,1174,930,2021-02-07 22:00:00+00:00,2021-01-28 18:00:00+00:00,0.18948450877881706,high_vol_0002,False
BTCUSDT,1h,conditioned,quantile_3_rolling_60,high_vol,rolling_volatility_60,univariate,24,1,1174,930,2021-02-07 22:00:00+00:00,2021-01-28 18:00:00+00:00,0.18948450877881706,high_vol_0002,False
BTCUSDT,1h,conditioned,quantile_4_rolling_60,extreme_vol,rolling_volatility_60,univariate,24,1,630,874,2021-01-28 18:00:00+00:00,2021-02-07 22:00:00+00:00,0.18948450877881706,extreme_vol_0002,False
BTCUSDT,1h,conditioned,quantile_3_rolling_240,high_vol,rolling_volatility_60,univariate,24,1,1174,930,2021-02-07 22:00:00+00:00,2021-01-28 18:00:00+00:00,0.18948450877881706,high_vol_0002,False
